"Fecha_Hora_24h","Nombre_Usuario","Sesion_ID","Num_Pregunta","Intervalo_App_Sonado","Respuesta_Usuario","Veredicto_Servidor"
"24/9/2026, 19:09:23","OmarB","1790294933058","9","7M","7M","Correcto"
"24/9/2026, 19:09:26","OmarB","1790294933058","10","6m","6","Correcto"
"24/9/2026, 19:09:30","OmarB","1790294933058","11","2m","2","Correcto"
"24/9/2026, 19:09:33","OmarB","1790294933058","12","7M","7","Correcto"
"24/9/2026, 19:09:36","OmarB","1790294933058","13","3M","3","Correcto"
"24/9/2026, 19:09:40","OmarB","1790294933058","14","7m","7","Correcto"
"24/9/2026, 19:09:42","OmarB","1790294933058","15","3m","3","Correcto"
"24/9/2026, 19:09:46","OmarB","1790294933058","16","2M","2","Correcto"
"24/9/2026, 19:09:49","OmarB","1790294933058","17","T","T","Correcto"
"24/9/2026, 19:09:52","OmarB","1790294933058","18","6M","6","Correcto"
"24/9/2026, 19:09:56","OmarB","1790294933058","19","2M","2","Correcto"
"24/9/2026, 19:09:58","OmarB","1790294933058","20","6M","6","Correcto"
